sample_id,dashcam_path,osm_path,gt_road_type,gt_traffic_density,gt_road_complexity,gt_hazard_presence,gt_anticipated_risk,gt_recommended_action,qwen_both_road_type,qwen_both_traffic_density,qwen_both_road_complexity,qwen_both_hazard_presence,qwen_dashcam_recommended_action,qwen_both_recommended_action,qwen_osm_recommended_action,qwen_dashcam_anticipated_risk,qwen_map_anticipated_risk,qwen_both_anticipated_risk,correct_road_type,correct_traffic_density,correct_road_complexity,correct_hazard_presence,correct_anticipated_risk,correct_recommended_action,fusion_correct_count
sample_001,/content/images/images_dashcam_sample100/sample_001.jpg,/content/topviews/topviews_locationmarked_100samples/sample_001_topview.png,urban_arterial,high,simple,no,medium,slow_down,highway,medium,moderate,no,slow_down,slow_down,maintain_speed,medium,medium,medium,False,False,False,True,True,True,3
sample_002,/content/images/images_dashcam_sample100/sample_002.jpg,/content/topviews/topviews_locationmarked_100samples/sample_002_topview.png,junction,high,complex,no,medium,increase_attention,highway,medium,moderate,no,increase_attention,slow_down,maintain_speed,medium,medium,medium,False,False,False,True,True,False,2
sample_003,/content/images/images_dashcam_sample100/sample_003.jpg,/content/topviews/topviews_locationmarked_100samples/sample_003_topview.png,urban_arterial,medium,simple,no,low,maintain_speed,urban_arterial,medium,moderate,no,slow_down,slow_down,maintain_speed,medium,medium,medium,True,True,False,True,False,False,3
sample_004,/content/images/images_dashcam_sample100/sample_004.jpg,/content/topviews/topviews_locationmarked_100samples/sample_004_topview.png,urban_arterial,low,simple,no,low,maintain_speed,highway,medium,moderate,no,increase_attention,maintain_speed,maintain_speed,medium,medium,medium,False,False,False,True,False,True,2
sample_005,/content/images/images_dashcam_sample100/sample_005.jpg,/content/topviews/topviews_locationmarked_100samples/sample_005_topview.png,urban_arterial,low,simple,no,low,maintain_speed,highway,low,simple,no,increase_attention,slow_down,maintain_speed,low,medium,low,False,True,True,True,True,False,4
sample_006,/content/images/images_dashcam_sample100/sample_006.jpg,/content/topviews/topviews_locationmarked_100samples/sample_006_topview.png,urban_arterial,medium,moderate,no,medium,increase_attention,highway,low,moderate,no,increase_attention,slow_down,slow_down,low,medium,medium,False,False,True,True,True,False,3
sample_007,/content/images/images_dashcam_sample100/sample_007.jpg,/content/topviews/topviews_locationmarked_100samples/sample_007_topview.png,junction,low,complex,no,medium,increase_attention,junction,low,simple,no,increase_attention,prepare_to_stop,maintain_speed,low,medium,low,True,True,False,True,False,False,3
sample_008,/content/images/images_dashcam_sample100/sample_008.jpg,/content/topviews/topviews_locationmarked_100samples/sample_008_topview.png,junction,low,complex,yes,high,prepare_to_stop,junction,low,simple,no,prepare_to_stop,slow_down,maintain_speed,low,medium,medium,True,True,False,False,False,False,2
sample_009,/content/images/images_dashcam_sample100/sample_009.jpg,/content/topviews/topviews_locationmarked_100samples/sample_009_topview.png,junction,low,complex,yes,high,increase_attention,junction,low,simple,no,prepare_to_stop,prepare_to_stop,slow_down,high,medium,medium,True,True,False,False,False,False,2
sample_010,/content/images/images_dashcam_sample100/sample_010.jpg,/content/topviews/topviews_locationmarked_100samples/sample_010_topview.png,junction,low,complex,no,medium,increase_attention,junction,low,simple,no,prepare_to_stop,slow_down,slow_down,low,medium,medium,True,True,False,True,True,False,4
sample_011,/content/images/images_dashcam_sample100/sample_011.jpg,/content/topviews/topviews_locationmarked_100samples/sample_011_topview.png,junction,low,complex,no,medium,increase_attention,junction,low,simple,no,increase_attention,slow_down,slow_down,low,medium,medium,True,True,False,True,True,False,4
sample_012,/content/images/images_dashcam_sample100/sample_012.jpg,/content/topviews/topviews_locationmarked_100samples/sample_012_topview.png,junction,low,complex,no,medium,increase_attention,junction,low,simple,no,prepare_to_stop,prepare_to_stop,slow_down,medium,medium,medium,True,True,False,True,True,False,4
sample_013,/content/images/images_dashcam_sample100/sample_013.jpg,/content/topviews/topviews_locationmarked_100samples/sample_013_topview.png,highway,high,simple,no,medium,slow_down,highway,high,moderate,no,maintain_speed,slow_down,maintain_speed,medium,medium,medium,True,True,False,True,True,True,5
